DATE,NEW_IN
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,1
2020-03-10,0
2020-03-11,7
2020-03-12,26
2020-03-13,61
2020-03-14,56
2020-03-15,70
2020-03-16,88
2020-03-17,125
2020-03-18,179
2020-03-19,213
2020-03-20,294
2020-03-21,322
2020-03-22,278
2020-03-23,268
2020-03-24,420
2020-03-25,543
2020-03-26,494
2020-03-27,587
2020-03-28,642
2020-03-29,545
2020-03-30,486
2020-03-31,550
2020-04-01,599
2020-04-02,572
2020-04-03,502
2020-04-04,502
2020-04-05,360
2020-04-06,324
2020-04-07,475
2020-04-08,464
2020-04-09,467
2020-04-10,431
2020-04-11,392
2020-04-12,277
2020-04-13,244
2020-04-14,253
2020-04-15,317
2020-04-16,313
2020-04-17,306
2020-04-18,265
2020-04-19,227
2020-04-20,184
2020-04-21,262
2020-04-22,216
2020-04-23,204
2020-04-24,221
2020-04-25,203
2020-04-26,130
2020-04-27,129
2020-04-28,165
2020-04-29,185
2020-04-30,153
2020-05-01,134
2020-05-02,82
2020-05-03,62
2020-05-04,92
2020-05-05,123
2020-05-06,101
2020-05-07,122
2020-05-08,79
2020-05-09,85
2020-05-10,62
2020-05-11,48
2020-05-12,74
2020-05-13,83
2020-05-14,66
2020-05-15,65
2020-05-16,62
2020-05-17,45
2020-05-18,52
2020-05-19,59
2020-05-20,77
2020-05-21,63
2020-05-22,37
2020-05-23,56
2020-05-24,31
2020-05-25,39
2020-05-26,39
2020-05-27,53
2020-05-28,28
2020-05-29,28
2020-05-30,42
2020-05-31,26
2020-06-01,29
2020-06-02,36
2020-06-03,22
2020-06-04,34
2020-06-05,30
2020-06-06,23
2020-06-07,24
2020-06-08,18
2020-06-09,24
2020-06-10,20
2020-06-11,33
2020-06-12,25
2020-06-13,11
2020-06-14,16
2020-06-15,12
2020-06-16,27
2020-06-17,19
2020-06-18,21
2020-06-19,21
2020-06-20,18
2020-06-21,12
2020-06-22,14
2020-06-23,12
2020-06-24,16
2020-06-25,21
2020-06-26,18
2020-06-27,16
2020-06-28,7
2020-06-29,14
2020-06-30,17
2020-07-01,9
2020-07-02,13
2020-07-03,6
2020-07-04,16
2020-07-05,7
2020-07-06,10
2020-07-07,17
2020-07-08,9
2020-07-09,11
2020-07-10,6
2020-07-11,11
2020-07-12,7
2020-07-13,9
2020-07-14,18
2020-07-15,11
2020-07-16,13
2020-07-17,11
2020-07-18,27
2020-07-19,18
2020-07-20,14
2020-07-21,9
2020-07-22,23
2020-07-23,33
2020-07-24,34
2020-07-25,26
2020-07-26,16
2020-07-27,28
2020-07-28,41
2020-07-29,35
2020-07-30,30
2020-07-31,19
2020-08-01,29
2020-08-02,29
2020-08-03,29
2020-08-04,20
2020-08-05,50
2020-08-06,33
2020-08-07,33
2020-08-08,38
2020-08-09,23
2020-08-10,41
2020-08-11,52
2020-08-12,35
2020-08-13,46
2020-08-14,33
2020-08-15,43
2020-08-16,29
2020-08-17,21
2020-08-18,35
2020-08-19,39
2020-08-20,30
2020-08-21,31
2020-08-22,26
2020-08-23,18
2020-08-24,17
2020-08-25,12
2020-08-26,21
2020-08-27,21
2020-08-28,19
2020-08-29,8
2020-08-30,14
2020-08-31,18
2020-09-01,28
2020-09-02,26
2020-09-03,13
2020-09-04,22
2020-09-05,16
2020-09-06,17
2020-09-07,26
2020-09-08,42
2020-09-09,24
2020-09-10,29
2020-09-11,31
2020-09-12,35
2020-09-13,41
2020-09-14,34
2020-09-15,50
2020-09-16,46
2020-09-17,49
2020-09-18,58
2020-09-19,58
2020-09-20,50
2020-09-21,61
2020-09-22,76
2020-09-23,74
2020-09-24,93
2020-09-25,74
2020-09-26,54
2020-09-27,51
2020-09-28,74
2020-09-29,91
2020-09-30,89
2020-10-01,90
2020-10-02,75
2020-10-03,79
2020-10-04,91
2020-10-05,91
2020-10-06,113
2020-10-07,145
2020-10-08,131
2020-10-09,151
2020-10-10,165
2020-10-11,141
2020-10-12,179
2020-10-13,224
2020-10-14,266
2020-10-15,292
2020-10-16,252
2020-10-17,365
2020-10-18,271
2020-10-19,274
2020-10-20,428
2020-10-21,437
2020-10-22,520
2020-10-23,617
2020-10-24,610
2020-10-25,529
2020-10-26,545
2020-10-27,707
2020-10-28,759
2020-10-29,688
2020-10-30,748
2020-10-31,707
2020-11-01,578
2020-11-02,612
2020-11-03,899
2020-11-04,675
2020-11-05,577
2020-11-06,606
2020-11-07,516
2020-11-08,415
2020-11-09,443
2020-11-10,618
2020-11-11,565
2020-11-12,414
2020-11-13,526
2020-11-14,461
2020-11-15,305
2020-11-16,285
2020-11-17,380
2020-11-18,358
2020-11-19,363
2020-11-20,323
2020-11-21,261
2020-11-22,215
2020-11-23,211
2020-11-24,305
2020-11-25,285
2020-11-26,257
2020-11-27,234
2020-11-28,225
2020-11-29,149
2020-11-30,123
2020-12-01,208
2020-12-02,238
2020-12-03,196
2020-12-04,221
2020-12-05,226
2020-12-06,151
2020-12-07,147
2020-12-08,215
2020-12-09,185
2020-12-10,207
2020-12-11,184
2020-12-12,185
2020-12-13,187
2020-12-14,125
2020-12-15,225
2020-12-16,201
2020-12-17,208
2020-12-18,201
2020-12-19,198
2020-12-20,133
2020-12-21,139
2020-12-22,219
2020-12-23,190
2020-12-24,211
2020-12-25,151
2020-12-26,95
2020-12-27,158
2020-12-28,150
2020-12-29,208
2020-12-30,159
2020-12-31,145
2021-01-01,150
2021-01-02,110
2021-01-03,137
2021-01-04,110
2021-01-05,149
2021-01-06,145
2021-01-07,156
2021-01-08,141
2021-01-09,137
2021-01-10,85
2021-01-11,94
2021-01-12,139
2021-01-13,142
2021-01-14,133
2021-01-15,142
2021-01-16,111
2021-01-17,79
2021-01-18,105
2021-01-19,187
2021-01-20,144
2021-01-21,148
2021-01-22,158
2021-01-23,143
2021-01-24,106
2021-01-25,92
2021-01-26,153
2021-01-27,121
2021-01-28,138
2021-01-29,119
2021-01-30,137
2021-01-31,77
2021-02-01,128
2021-02-02,142
2021-02-03,142
2021-02-04,141
2021-02-05,144
2021-02-06,123
2021-02-07,108
2021-02-08,72
2021-02-09,163
2021-02-10,132
2021-02-11,137
2021-02-12,132
2021-02-13,107
2021-02-14,91
2021-02-15,84
2021-02-16,145
2021-02-17,141
2021-02-18,142
2021-02-19,125
2021-02-20,112
2021-02-21,88
2021-02-22,115
2021-02-23,155
2021-02-24,150
2021-02-25,142
2021-02-26,204
2021-02-27,156
2021-02-28,127
2021-03-01,107
2021-03-02,176
2021-03-03,152
2021-03-04,171
2021-03-05,152
2021-03-06,141
2021-03-07,122
2021-03-08,113
2021-03-09,202
2021-03-10,154
2021-03-11,139
2021-03-12,170
2021-03-13,195
2021-03-14,159
2021-03-15,150
2021-03-16,208
2021-03-17,207
2021-03-18,208
2021-03-19,182
2021-03-20,243
2021-03-21,185
2021-03-22,201
2021-03-23,282
2021-03-24,251
2021-03-25,242
2021-03-26,208
2021-03-27,296
2021-03-28,213
2021-03-29,199
2021-03-30,319
2021-03-31,309
2021-04-01,290
2021-04-02,296
2021-04-03,259
2021-04-04,171
2021-04-05,230
