"CAMPAIGN","DATE","REGION","AGEGROUP","SEX","BRAND","STATUS","COUNT"
1,2020-12-29,"Flanders","45-54","F","Other","Vaccinated",1
1,2021-01-05,"NA","45-54","M","Other","Vaccinated",1
1,2021-01-09,"NA","35-44","F","Other","Vaccinated",1
1,2021-01-10,"Flanders","25-34","M","Other","Vaccinated",1
1,2021-01-12,"Flanders","25-34","F","Other","Vaccinated",1
1,2021-01-15,"Brussels","65-74","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-15,"Brussels","65-74","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-15,"Flanders","35-44","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-15,"Flanders","55-64","F","Other","Vaccinated",1
1,2021-01-15,"NA","35-44","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-15,"NA","35-44","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-15,"NA","45-54","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-15,"NA","55-64","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-15,"NA","65-74","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-16,"NA","65-74","M","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-16,"NA","75-84","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-16,"NA","85+","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"Brussels","35-44","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"Brussels","55-64","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"Brussels","85+","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"Flanders","25-34","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"Flanders","35-44","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"Flanders","45-54","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"Flanders","65-74","F","Pfizer-BioNTech Original","Vaccinated",3
1,2021-01-17,"Flanders","65-74","M","Pfizer-BioNTech Original","Vaccinated",3
1,2021-01-17,"NA","35-44","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"NA","35-44","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"NA","45-54","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"NA","55-64","F","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-17,"NA","55-64","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"NA","65-74","M","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-17,"NA","75-84","F","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-17,"NA","75-84","M","Pfizer-BioNTech Original","Vaccinated",4
1,2021-01-17,"NA","85+","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"NA","85+","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-17,"Wallonia","35-44","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-18,"Brussels","25-34","M","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-18,"Brussels","35-44","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-18,"Brussels","45-54","M","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-18,"Flanders","18-24","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-18,"Flanders","25-34","M","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-18,"Flanders","35-44","F","Pfizer-BioNTech Original","Vaccinated",6
1,2021-01-18,"Flanders","35-44","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-18,"Flanders","45-54","F","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-18,"Flanders","45-54","M","Other","Vaccinated",1
1,2021-01-18,"Flanders","45-54","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-18,"Flanders","55-64","F","Pfizer-BioNTech Original","Vaccinated",6
1,2021-01-18,"Flanders","55-64","M","Pfizer-BioNTech Original","Vaccinated",3
1,2021-01-18,"Flanders","65-74","F","Pfizer-BioNTech Original","Vaccinated",4
1,2021-01-18,"Flanders","65-74","M","Pfizer-BioNTech Original","Vaccinated",5
1,2021-01-18,"Flanders","75-84","F","Pfizer-BioNTech Original","Vaccinated",7
1,2021-01-18,"Flanders","75-84","M","Pfizer-BioNTech Original","Vaccinated",3
1,2021-01-18,"Flanders","85+","F","Pfizer-BioNTech Original","Vaccinated",58
1,2021-01-18,"Flanders","85+","M","Pfizer-BioNTech Original","Vaccinated",24
1,2021-01-18,"NA","25-34","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-18,"NA","35-44","F","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-18,"NA","45-54","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-18,"NA","55-64","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-18,"NA","55-64","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-18,"NA","65-74","F","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-18,"NA","65-74","M","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-18,"NA","75-84","F","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-18,"NA","75-84","M","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-18,"NA","85+","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-18,"NA","85+","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-18,"Wallonia","35-44","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-18,"Wallonia","55-64","M","Pfizer-BioNTech Original","Vaccinated",3
1,2021-01-18,"Wallonia","75-84","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"Brussels","35-44","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"Brussels","45-54","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"Brussels","45-54","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"Brussels","55-64","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"Brussels","65-74","F","Pfizer-BioNTech Original","Vaccinated",5
1,2021-01-19,"Brussels","65-74","M","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-19,"Brussels","75-84","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"Brussels","75-84","M","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-19,"Brussels","85+","F","Pfizer-BioNTech Original","Vaccinated",38
1,2021-01-19,"Brussels","85+","M","Pfizer-BioNTech Original","Vaccinated",4
1,2021-01-19,"Flanders","25-34","F","Pfizer-BioNTech Original","Vaccinated",3
1,2021-01-19,"Flanders","25-34","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"Flanders","45-54","F","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-19,"Flanders","45-54","M","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-19,"Flanders","55-64","F","Pfizer-BioNTech Original","Vaccinated",4
1,2021-01-19,"Flanders","55-64","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"Flanders","65-74","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"Flanders","65-74","M","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-19,"Flanders","75-84","F","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-19,"Flanders","75-84","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"Flanders","85+","F","Pfizer-BioNTech Original","Vaccinated",3
1,2021-01-19,"Flanders","85+","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"NA","45-54","F","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-19,"NA","55-64","M","Pfizer-BioNTech Original","Vaccinated",3
1,2021-01-19,"NA","65-74","M","Pfizer-BioNTech Original","Vaccinated",2
1,2021-01-19,"NA","75-84","F","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"NA","75-84","M","Pfizer-BioNTech Original","Vaccinated",1
1,2021-01-19,"Wallonia","25-34","F","Pfizer-BioNTech Original","Vaccinated",7
1,2021-01-19,"Wallonia","25-34","M","Pfizer-BioNTech Original","Vaccinated",6
1,2021-01-19,"Wallonia","35-44","F","Pfizer-BioNTech Original","Vaccinated",11
1,2021-01-19,"Wallonia","35-44","M","Pfizer-BioNTech Original","Vaccinated",3
1,2021-01-19,"Wallonia","45-54","F","Pfizer-BioNTech Original","Vaccinated",10
1,2021-01-19,"Wallonia","45-54","M","Pfizer-BioNTech Original","Vaccinated",4
1,2021-01-19,"Wallonia","55-64","F","Pfizer-BioNTech Original","Vaccinated",19
1,2021-01-19,"Wallonia","55-64","M","Pfizer-BioNTech Original","Vaccinated",12
1,2021-01-19,"Wallonia","65-74","F","Pfizer-BioNTech Original","Vaccinated",6
1,2021-01-19,"Wallonia","65-74","M","Pfizer-BioNTech Original","Vaccinated",5
1,2021-01-19,"Wallonia","75-84","F","Pfizer-BioNTech Original","Vaccinated",8
1,2021-01-19,"Wallonia","75-84","M","Pfizer-BioNTech Original","Vaccinated",6
1,2021-01-19,"Wallonia","85+","F","Pfizer-BioNTech Original","Vaccinated",18
1,2021-01-19,"Wallonia","85+","M","Pfizer-BioNTech Original","Vaccinated",5
